Category,Theme,Motivation,Category Description,Motivation Description,Evidence Snippets,Subtheme Description
Practical and Functional Benefits,Financial Security,They aim to secure basic needs like food and shelter.,"Motivations driven by tangible rewards, resources, or practical advantages.","Motivations to secure food, shelter, and safety.",Motivated by the need to fulfill basic needs for survival.|Seeking safety and stability in life.,Motivations focused on ensuring access to essential resources and safety.
Practical and Functional Benefits,Material Possessions,They desire to own luxury items to enhance their status.,"Motivations centered on acquiring money, possessions, or material benefits to improve quality of life or achieve security.",Motivated to acquire luxury items for status or comfort.,They seek luxury goods to signal success | Want premium brands | Aim to own high-end products | Pursue luxury for status and comfort,Motivations driven by acquiring tangible possessions and material comforts.
Practical and Functional Benefits,Financial Security,He wants to achieve financial stability to feel secure.,"Motivations focused on acquiring tangible possessions, wealth, or financial stability.",The desire to secure financial resources for stability.,His motivation is to attain financial security.|He seeks stability through wealth.,Motivations aimed at achieving stability and safety through financial means.
Practical and Functional Benefits,Desire for Social Approval,They seek to improve comfort and convenience in their lives.,"Motivations driven by tangible, practical, or material gains that improve life quality or provide security.",Motivated by the desire to make daily life more comfortable and convenient.,Seeking comfort motivates their actions | They want to make life easier | Improving daily convenience is important | They aim for a more comfortable lifestyle,"Motivations focused on tangible improvements in daily life, convenience, or safety."
Practical and Functional Benefits,Skill Acquisition and Mastery,They seek to boost their income for stability.,"Motivations centered on acquiring money, possessions, or material benefits to improve quality of life or achieve security.",Motivated to earn more money to improve financial stability.,They aim to increase their earnings | Want higher salaries | Seek additional sources of income | Pursue financial stability,Motivations focused on increasing financial resources and wealth.
Practical and Functional Benefits,Practical Utility and Convenience,They prefer products that are simple and easy to use.,"Motivations driven by tangible or external benefits, such as rewards, incentives, or useful outcomes.",Motivated by products or actions that are easy to use or access.,They prefer products that are simple and easy to use.|Looking for convenience in everyday tasks.,"Motivations related to the usefulness, ease, or convenience of products or actions."
Practical and Functional Benefits,Material Rewards and Incentives,They are motivated to earn money through their actions.,"Motivations driven by tangible or external benefits, such as rewards, incentives, or useful outcomes.",Motivated by the desire to earn money or financial benefits.,They are motivated to earn money through their actions.|Pursuing rewards that have monetary value.,"Motivations focused on obtaining tangible rewards like money, gifts, or prizes."
Practical and Functional Benefits,Recognition and Status,They want to save money on their purchases.,"Motivations related to fulfilling basic, practical, and utilitarian needs through products or actions.",Motivated to save money through purchasing decisions.,They want to save money on their purchases.|Looking for discounts and bargains.,"Motivations driven by economic considerations, such as saving money or maximizing value."
Practical and Functional Benefits,Fashion and Appearance,They want to simplify their tasks to save time and effort.,"Motivations related to fulfilling basic, practical, and utilitarian needs through products or actions.",Motivated to make tasks easier and more convenient.,They want to simplify their tasks to save time and effort.|Seeking easy solutions.,"Motivations driven by the desire for simplicity, convenience, and ease of use."
Practical and Functional Benefits,Fashion and Appearance,They want solutions that save them time.,"Motivations driven by the tangible, practical benefits that products or actions provide.",The desire to save time through efficient solutions.,They want solutions that save them time.|Looking for quick and efficient options.,Motivations focused on simplifying tasks and saving time or effort.
Practical and Functional Benefits,Practical Utility and Convenience,They select clothing based on comfort and ease of movement.,"Motivations driven by the functional aspects of clothing and accessories, focusing on comfort, utility, and practicality.",Choosing clothing primarily for comfort and ease of wear.,Prioritizing comfort in clothing | Choosing easy-to-wear outfits | Comfort as a key factor in style decisions,"Motivations to prioritize comfort, ease of wear, and convenience in choices."
Security and Stability,Financial Security,They are motivated to earn income to secure their financial future.,"Motivations focused on ensuring safety, stability, and predictability in life.",Motivated by the need to generate income for living expenses and security.,They aim to earn money for stability | motivated to secure financial resources | seeking steady income | driven by economic needs,Motivations driven by the need for financial stability and economic safety.
Security and Stability,Financial Security,They want to ensure financial security for the future.,"Motivations centered on acquiring, maintaining, and increasing financial resources for security and comfort.",Motivated by securing financial stability for the future.,Wants to secure future financial stability|Seeks long-term security|Motivated by retirement planning|Desires peace of mind about finances,Motivations focused on achieving stability and peace of mind through financial means.
Security and Stability,Financial Security,They are motivated to avoid debt and financial burdens.,"Motivations centered around earning, saving, and maintaining financial stability.",Motivated by the desire to avoid debt and financial burdens.,Avoiding debt motivates them | They seek to maintain financial independence | Debt avoidance is a priority | Financial burdens are undesirable,Motivations aimed at maintaining a stable financial situation and avoiding insecurity.
Security and Stability,Financial Security,They aim to increase their financial wealth.,"Motivations focused on ensuring safety, stability, and predictability in life.",Desire to build financial resources and assets.,Saving money motivates them|They want to build wealth|Accumulating assets is a priority|Financial growth drives their actions,"Motivations related to earning, saving, and managing money for stability."
Security and Stability,Personal Safety,They aim to avoid dangerous situations.,"Motivations aimed at ensuring safety, predictability, and consistency in life.",Motivated by the need to stay away from risky situations.,Avoiding danger ensures their safety.|They are motivated to stay safe from harm.,Motivations related to physical safety and protection from harm.
Security and Stability,Mental and Emotional Well-being,He invests in stocks to build his wealth.,"Motivations aimed at ensuring financial safety, stability, or growth.",The desire to invest in stock markets to increase wealth.,He invests in stocks to build his wealth.|Stock investments are a way to grow money.,Motivations related to investing money to grow wealth.
Security and Stability,Physical Health,They want to install security systems to prevent theft and intrusion.,"Motivations related to ensuring physical, financial, or emotional security.",The desire to install security systems to prevent intrusion or theft.,Install security systems|Prevent theft|Ensure safety at home,Motivations aimed at ensuring personal safety and protection from harm.
Security and Stability,Personal Safety,They want to stay safe from physical harm and danger.,"Motivations related to maintaining safety, stability, and predictability in life.",The desire to stay safe from physical harm.,They want to stay safe from physical harm and danger.|Protection from physical threats.,Motivations centered on physical safety and protection.
Security and Stability,Skill Development and Learning,They are saving to build an emergency fund for unforeseen costs.,"Motivations aimed at ensuring financial safety, stability, or growth.",The desire to save money for unexpected expenses.,They are saving to build an emergency fund for unforeseen costs.|Emergency savings provide financial security.,Motivations to save money and manage expenses efficiently.
Security and Stability,Practical Utility and Convenience,They want to preserve their health and prevent illness.,"Motivations aimed at ensuring safety, stability, and avoiding risks or harm.",The desire to maintain good health and prevent illness.,They want to preserve their health and prevent illness.|Health preservation is a primary concern.,Motivations related to maintaining physical health and safety.
Social Connection and Belonging,Building Relationships,They want to maintain strong friendships with others.,"Motivations rooted in forming, maintaining, or improving social relationships and gaining social approval.",The desire to keep and nurture friendships.,They want to maintain strong friendships with others.|Nurturing existing social bonds.,Motivations centered on establishing and strengthening personal relationships.
Social Connection and Belonging,Physical Health,They are trying to lose weight to improve their health.,"Motivations related to improving physical health, mental health, and overall well-being.",The desire to shed pounds for health or aesthetic reasons.,They are trying to lose weight to improve their health.|Weight loss is a common motivation for better fitness.,Motivations driven by the desire to improve physical health through activity or diet.
Social Connection and Belonging,Self-Representation in Social Contexts,They want to make their own decisions to feel autonomous and in control.,"Motivations driven by the need for independence, self-direction, or mastery over one's environment.",Motivated by the desire to make choices without external influence.,Prefers to decide independently|Values making their own choices|Desire for self-directed decision-making,Motivations motivated by the desire to make independent choices and control one's life.
Social Connection and Belonging,Mental and Emotional Well-being,They seek ways to alleviate stress and relax.,Motivations centered around maintaining physical and mental health.,Desire to reduce stress through activities or practices.,Engaging in relaxing activities motivates them|They want to reduce stress levels|Practicing mindfulness helps them|Relaxation techniques are important,"Motivations related to emotional health, stress reduction, and psychological resilience."
Social Connection and Belonging,Building Relationships,He wants to strengthen his relationship with his family.,"Motivations driven by the desire to form, maintain, or strengthen personal and social relationships.",Seeking stronger bonds with family members.,He aims to build closer family ties | Seeks to improve family relationships | Wants to spend more quality time with family | Motivated to strengthen familial bonds,Motivations focused on establishing and nurturing personal connections.
Social Connection and Belonging,Building Relationships,They are motivated to support and care for their family members.,"Motivations driven by the need to connect with others, belong to a community, or seek social acceptance.",The motivation to support and care for family members.,Want to support family|Care for loved ones|Provide for family needs,Motivations related to nurturing and maintaining close family or personal bonds.
Social Connection and Belonging,Physical Health,The individual wants to stay healthy and avoid getting sick.,"Motivations driven by the desire to improve, maintain, or achieve physical and mental health.",Motivation to avoid sickness and health issues.,They want to prevent illness and stay in good health.|Avoid health problems by maintaining good habits.,Motivations focused on maintaining or improving physical health and preventing illness.
Social Connection and Belonging,Skill Development and Learning,They want to fit in with their peers and be accepted.,"Motivations centered on building relationships, gaining acceptance, and social recognition.",Desire to be accepted and fit into social groups.,They seek social acceptance|Want to be part of a group|Desire to blend in with others,Motivations driven by the need to belong to a group or community.
Social Connection and Belonging,Performance Enhancement,They want to participate in social events and activities.,"Motivations driven by the desire for social interaction, belonging, and relationships.",Desire to engage in social events and group activities.,They seek involvement in social gatherings|Motivated to join group activities|Wants to engage socially,Motivations related to actively participating in social activities and interactions.
Social Connection and Belonging,Self-Representation in Social Contexts,They are motivated to take part in community activities.,"Motivations driven by the need to connect, communicate, and build relationships with others.",Motivated by involvement in community events or groups.,They are motivated to take part in community activities.,Motivations centered on participating in social activities and engaging with the community.
Social Connection and Belonging,Fashion and Appearance,They are motivated to gain acceptance and approval from social groups.,"Motivations driven by the desire to connect with others, gain acceptance, or feel part of a community.",Motivated by the desire to be accepted and approved by social groups.,They are motivated to gain acceptance and approval from social groups.|Wanting to be liked and accepted.,"Motivations centered on gaining approval, acceptance, or validation from others."
Social Connection and Belonging,Skill Acquisition and Mastery,They want to support and help others.,"Motivations driven by the desire to build, maintain, or improve personal and social relationships.",Desire to help and support others.,They aim to support others|Providing help motivates them|Helping others is a key motivation,"Motivations related to providing or receiving support, care, and companionship."
Social Connection and Belonging,Desire for Social Approval,They seek validation from others to feel appreciated.,"Motivations rooted in forming relationships, gaining approval, or belonging to a group.",The desire to receive positive feedback and validation from others.,They look for praise from peers.|They feel motivated when others approve of their actions.|They seek compliments to boost their confidence.|They avoid criticism to maintain their self-esteem.,"Motivations driven by the need for acceptance, praise, or validation from others."
Social Connection and Belonging,Desire for Social Approval,They seek recognition among their peers to feel valued.,"Motivations centered on building relationships, gaining social approval, and belonging.",Motivated by the desire to be recognized and appreciated by peers.,They want to be acknowledged by friends | motivated by peer approval | seeking to be liked by others | desire for social recognition,"Motivations driven by the need to be accepted, liked, or approved by others."
Social Connection and Belonging,Physical Health,They want to stay active and improve their fitness.,Motivations related to maintaining or improving physical and mental health.,The desire to stay active and improve physical fitness.,They want to stay active and improve their fitness.|Focusing on physical health through exercise.,Motivations aimed at improving or maintaining physical health and fitness.
Social Connection and Belonging,Recognition and Status,They desire respect and admiration from others.,"Motivations rooted in forming, maintaining, and gaining approval within social relationships.",Seeking admiration and respect from peers.,They desire respect and admiration from others.|Seeking to be admired by peers.,"Motivations driven by gaining recognition, status, or admiration from others."
Social Connection and Belonging,Desire for Social Approval,They want to be included and accepted within a social group.,"Motivations rooted in the desire to belong, connect with others, and be accepted socially.",Motivation to be included and accepted within a social group.,They want to be included and accepted within a social group.|Looking to belong to a community.,Motivations centered on feeling part of a group or community.
Social Connection and Belonging,Building Relationships,They are motivated to find or maintain romantic relationships.,"Motivations driven by the desire to connect with others, gain acceptance, or feel part of a community.",Motivated by the desire to find or sustain romantic connections.,They are motivated to find or maintain romantic relationships.|Seeking romantic connection.,"Motivations focused on forming, maintaining, or strengthening personal relationships."
Social Connection and Belonging,Community and Social Engagement,They are motivated by the desire to join groups or communities.,"Motivations driven by the need to connect with others, form relationships, and feel part of a community.",The desire to be part of specific groups or communities.,They want to join groups to feel connected.|Seeking community membership.,Motivations related to feeling part of a community or group identity.
Social Connection and Belonging,Recognition and Status,They want to feel part of a group or community.,"Motivations based on forming bonds, gaining approval, and being part of a community.",The desire to belong to a social group or community.,They want to feel part of a group or community.|Longing to belong to social groups.,Motivations centered on being part of a community or group identity.
Social Connection and Belonging,Building Relationships,He wants to ensure his family’s well-being and happiness.,"Motivations related to forming, maintaining, or enhancing social bonds and relationships.",The desire to ensure the happiness and health of family members.,Motivated by the desire to keep his family happy and healthy | Prioritizes family well-being,Motivations centered on strengthening bonds with family and close friends.
Social Connection and Belonging,Skill Acquisition and Mastery,They desire affirmation to feel appreciated and validated.,"Motivations focused on forming, maintaining, and enhancing social bonds and acceptance.",Seeking positive feedback and recognition from others.,They seek positive feedback | Affirmation makes them feel valued | Recognition from others boosts their confidence | They look for validation from peers,"Motivations centered on receiving praise, validation, or acknowledgment from peers and community."
Social Connection and Belonging,Recognition and Status,They are motivated by a sense of shared identity within a group.,"Motivations related to forming, maintaining, or enhancing social relationships and a sense of community.",Motivated by belonging to a group with common values or identity.,Shared values foster motivation|Belonging to a group with common identity is important|Group identity enhances motivation,Motivations centered on feeling part of a community or group with shared values or identity.
Social Connection and Belonging,Building Relationships,They want to maintain strong bonds with their family members.,"Motivations driven by the desire for social interaction, belonging, and relational bonds.",Desire to keep strong and positive relationships with family members.,They want to maintain strong bonds with their family members.,Motivations focused on strengthening bonds with family and close friends.
Social Connection and Belonging,Community and Social Engagement,They want to expand their social circle and meet new people.,"Motivations driven by the desire for social interaction, belonging, and relational bonds.",Desire to meet new people and form new friendships.,They want to expand their social circle and meet new people.,Motivations centered on building and maintaining friendships and social groups.
Social Connection and Belonging,Skill Development and Learning,He wants to feel like he belongs to his community.,"Motivations driven by the desire to belong, be accepted, and maintain social relationships.",The need to feel accepted and part of a social group.,His motivation is to feel included in his community.|He seeks acceptance from his peers.,Motivations centered around feeling part of a group or community.
Social Connection and Belonging,Goal-Oriented Motivation,They are motivated to remain loyal and committed to their group.,"Motivations driven by the need for social interaction, belonging, and recognition within a community.",The motivation to remain loyal and committed to a group.,They are motivated to remain loyal and committed to their group.|Showing allegiance to a community.,Motivations related to aligning with group identity and shared values.
Social Connection and Belonging,Recognition and Status,They wear luxury brands to signal their social status.,"Motivations centered on gaining approval, fitting in, or being recognized positively by others through appearance or behavior.",Wearing luxury brands or designer items to signal status.,Wearing designer brands | Signaling wealth through fashion | Displaying luxury possessions,"Motivations to display wealth, status, or social standing through appearance or possessions."
Social Connection and Belonging,Building Relationships,They want to stay connected with loved ones.,"Motivations centered around forming, maintaining, and enhancing social bonds and acceptance.",Motivated by the desire to keep in touch with friends and family.,Wants to maintain contact with friends|Seeks ongoing communication|Motivated by staying in touch|Desires to keep relationships alive,Motivations focused on keeping existing social bonds strong and ongoing.
Social Connection and Belonging,Building Relationships,They want to improve communication with their partner to strengthen their relationship.,"Motivations driven by the desire to build, maintain, or improve personal and social relationships.",To enhance understanding and connection with a romantic partner.,They seek better communication with their partner|Improving understanding enhances their relationship|They want to resolve conflicts effectively,"Motivations that focus on deepening, maintaining, or improving current relationships."
Social Connection and Belonging,Mental and Emotional Well-being,They seek happiness and emotional fulfillment.,Motivations centered on maintaining or improving physical and mental health.,Driven by the pursuit of happiness and life satisfaction.,They seek happiness|Motivated by emotional fulfillment|Want to feel content,Motivations related to emotional health and psychological resilience.
Social Connection and Belonging,Self-Representation in Social Contexts,They seek acceptance from others.,"Motivations related to forming, maintaining, or strengthening social bonds and community ties.",Desire to be accepted by peers or social groups.,They seek acceptance from others.|Wanting to be part of a group.,"Motivations driven by the desire to be accepted, valued, and recognized by others."
Social Connection and Belonging,Strengthening Existing Bonds,They want to spend quality time with family and friends.,"Motivations driven by the desire to build, maintain, or enhance social bonds and relationships.",Desire to spend meaningful time with loved ones.,They want to spend quality time with family and friends.|Engaging in activities to strengthen bonds.,Motivations to maintain or deepen existing relationships.
Social Connection and Belonging,Community and Social Engagement,They are motivated by helping others and making a positive impact.,"Motivations focused on establishing, maintaining, and enhancing social bonds and community.",The desire to help others and contribute to the greater good.,They want to serve the community | Motivated by helping others | Desire to contribute positively | Altruistic motivations,Motivations aimed at participating in community activities and contributing to societal well-being.
Social Connection and Belonging,Recognition and Status,They want to earn respect from their peers and community.,"Motivations driven by the need for social belonging, approval, and meaningful relationships.",The desire to be respected by others.,Gaining respect motivates their actions and choices.|They seek recognition as a sign of competence or worth.,"Motivations aimed at gaining respect, admiration, or a higher social standing."
Social Connection and Belonging,Desire for Social Approval,They seek approval from their friends or colleagues.,"Motivations driven by the need for social belonging, approval, and meaningful relationships.",The desire to be accepted and approved by peers.,Gaining approval from peers motivates their actions.|They want to be recognized and accepted by their social circle.,Motivations centered on gaining approval or fitting in within social groups.
Social Connection and Belonging,Physical Health,They want to stay physically fit and healthy.,Motivations aimed at maintaining or improving physical and mental health.,Desire to keep physically active and fit.,They aim to maintain physical fitness|They want to stay active and healthy|They seek to keep fit,Motivations focused on keeping the body healthy and preventing illness.
Social Connection and Belonging,Building Relationships,They seek to establish deep and intimate relationships.,"Motivations driven by the need to be accepted, loved, or connected with others to fulfill social and emotional needs.","A wish to form close, personal bonds with others.",They want to build close bonds|They desire intimacy and personal connection|They seek meaningful relationships,"Motivations centered around forming, nurturing, and sustaining personal connections with others."
Social Connection and Belonging,Recognition and Status,They want to be appreciated and recognized for their contributions.,"Motivations driven by the need to be accepted, loved, or connected with others to fulfill social and emotional needs.",Desire to receive appreciation from others for one's efforts or qualities.,They seek recognition and validation from others|They desire acknowledgment for their efforts|They want to feel valued by their peers,"Motivations focused on gaining approval, recognition, or validation from others to boost self-esteem."
Social Connection and Belonging,Building Relationships,They want to spend meaningful time with their family to strengthen relationships.,"Motivations centered around building, maintaining, and improving social bonds and relationships.",Desire to connect deeply with family members through shared activities.,Sharing family meals helps them feel closer | They value quality moments with loved ones | Participating in family activities brings joy | They prioritize family time despite busy schedules,Motivations driven by the desire to strengthen bonds with family and close friends.
Social Connection and Belonging,Community and Social Engagement,They are motivated to volunteer to support their community.,"Motivations driven by the desire to belong, be accepted, or connect with others.",The desire to contribute time and effort to help others.,They are motivated to volunteer to support their community.| Volunteering gives them a sense of purpose.,Motivations to participate actively in community or group activities.
